label,method,mean_composite_score,usable_answer_rate,tokens_per_query,quality_per_1k_tokens,mean_query_latency_seconds,p95_query_latency_seconds,meets_latency_slo,meets_quality_bar,index_seconds
Semantic (vector),semantic_rag,0.4114583333333333,0.75,1353.5,0.30399581332348236,1.5544654444189898,2.048736402051873,True,True,0.141663124988554
GraphRAG global,graph_rag,0.1107371794871794,0.3333333333333333,560.4166666666666,0.19759794109236473,14.815198913160808,20.99191643314407,False,False,277.3378802500083
GraphRAG local,graph_local_rag,0.1473742816091953,0.5,374.75,0.393260257796385,10.885271454586473,12.88274027514708,False,False,0.0006853750091977
Hybrid (vec+graph local),hybrid_rag,0.3495959595959596,0.75,1722.25,0.20298792834719676,10.716684708332954,13.042708883306478,False,False,0.0442083750094752
GraphRAG fast/basic,lazygraph_rag,0.3276037634516009,0.8333333333333334,344.4166666666667,0.9511844087634189,9.311800298664217,11.394286521205505,False,False,57.40795108300517
Adaptive router,adaptive_rag,0.4241071428571428,0.5,1539.4166666666667,0.27549860414040567,4.681543958254527,10.019189618450763,False,True,0.0318894159863702
BM25+dense (RRF),hybrid_dense_sparse,0.2938988095238095,0.5833333333333334,1356.8333333333333,0.21660641900784386,1.6136721180785871,2.097692057988024,True,False,0.0585315830248873
Vector + rerank,rerank_semantic,0.4255952380952381,0.75,1264.9166666666667,0.33646108815751086,1.543994708331108,2.703099224690231,True,True,0.0375302089960314
FrontierRAG (adaptive+CRAG),frontier_rag,0.41889880952380953,0.6666666666666666,2058.9166666666665,0.20345593209558888,7.144507066002309,14.633763158149668,False,True,0.18034275001264177
