method,phase,prompt_tokens,completion_tokens,total_tokens,calls,estimated_cost_usd,elapsed_seconds
semantic_rag,semantic_query,28735,299,29034,21,,
semantic_rag,evaluation,1196,358,1554,14,,
semantic_rag,__total__,29931,657,30588,35,0.0,48.53865429200232
rerank_semantic,semantic_query,29552,487,30039,21,,
rerank_semantic,evaluation,1380,298,1678,14,,
rerank_semantic,__total__,30932,785,31717,35,0.0,44.12221379199764
hybrid_rag,semantic_query,198,0,198,7,,
hybrid_rag,graph_query_estimate,198,1683,1881,14,,
hybrid_rag,hybrid_query,30844,656,31500,14,,
hybrid_rag,evaluation,1548,385,1933,14,,
hybrid_rag,__total__,32788,2724,35512,49,0.0,124.72700762501336
frontier_rag,semantic_query,238,0,238,8,,
frontier_rag,frontier_grade,15500,10,15510,14,,
frontier_rag,frontier_generate,24933,477,25410,12,,
frontier_rag,evaluation,1601,363,1964,14,,
frontier_rag,graph_query_estimate,40,446,486,2,,
frontier_rag,hybrid_query,4473,231,4704,2,,
frontier_rag,__total__,46785,1527,48312,52,0.0,68.68861983399256
