method,question_id,query_type,llm_judge_score,token_f1,exact_match,contains_answer,composite_score,generative_score,extractive_score,multihop_type
semantic_rag,mh-inf-000-meta,hybrid,0.8,0.05128205128205127,False,True,0.46282051282051284,0.9,0.025641025641025637,inference_query
semantic_rag,mh-inf-001-meta,hybrid,0.8,0.04545454545454545,False,True,0.46136363636363636,0.9,0.022727272727272724,inference_query
semantic_rag,mh-inf-002-uber,hybrid,0.0,0.0,False,False,0.0,0.0,0.0,inference_query
semantic_rag,mh-com-003-no,local,0.0,0.0,False,False,0.0,0.0,0.0,comparison_query
semantic_rag,mh-com-004-no,local,0.0,0.0,False,True,0.25,0.5,0.0,comparison_query
semantic_rag,mh-com-005-no,local,0.0,0.0,False,True,0.25,0.5,0.0,comparison_query
semantic_rag,mh-tem-006-no,hybrid,0.2,0.0,False,True,0.3,0.6,0.0,temporal_query
semantic_rag,mh-tem-007-no,hybrid,0.0,0.0,False,True,0.25,0.5,0.0,temporal_query
semantic_rag,mh-tem-008-no,hybrid,0.0,0.0,False,True,0.25,0.5,0.0,temporal_query
rerank_semantic,mh-inf-000-meta,hybrid,0.8,0.0689655172413793,False,True,0.4672413793103448,0.9,0.03448275862068965,inference_query
rerank_semantic,mh-inf-001-meta,hybrid,0.0,0.0,False,True,0.25,0.5,0.0,inference_query
rerank_semantic,mh-inf-002-uber,hybrid,0.0,0.0,False,False,0.0,0.0,0.0,inference_query
rerank_semantic,mh-com-003-no,local,0.0,0.0,False,True,0.25,0.5,0.0,comparison_query
rerank_semantic,mh-com-004-no,local,0.0,0.0,False,True,0.25,0.5,0.0,comparison_query
rerank_semantic,mh-com-005-no,local,0.0,0.0,False,True,0.25,0.5,0.0,comparison_query
rerank_semantic,mh-tem-006-no,hybrid,0.2,0.0,False,True,0.3,0.6,0.0,temporal_query
rerank_semantic,mh-tem-007-no,hybrid,0.0,0.0,False,True,0.25,0.5,0.0,temporal_query
rerank_semantic,mh-tem-008-no,hybrid,0.0,0.0,False,True,0.25,0.5,0.0,temporal_query
hybrid_rag,mh-inf-000-meta,hybrid,0.0,0.03773584905660378,False,True,0.25943396226415094,0.5,0.01886792452830189,inference_query
hybrid_rag,mh-inf-001-meta,hybrid,0.8,0.0625,False,True,0.465625,0.9,0.03125,inference_query
hybrid_rag,mh-inf-002-uber,hybrid,0.0,0.03773584905660378,False,True,0.25943396226415094,0.5,0.01886792452830189,inference_query
hybrid_rag,mh-com-003-no,local,0.8,0.0,False,True,0.45,0.9,0.0,comparison_query
hybrid_rag,mh-com-004-no,local,0.0,0.0,False,True,0.25,0.5,0.0,comparison_query
hybrid_rag,mh-com-005-no,local,0.0,0.0,False,True,0.25,0.5,0.0,comparison_query
hybrid_rag,mh-tem-006-no,hybrid,0.0,0.0,False,True,0.25,0.5,0.0,temporal_query
hybrid_rag,mh-tem-007-no,hybrid,0.0,0.0,False,False,0.0,0.0,0.0,temporal_query
hybrid_rag,mh-tem-008-no,hybrid,0.0,0.0,False,True,0.25,0.5,0.0,temporal_query
frontier_rag,mh-inf-000-meta,hybrid,0.8,0.0689655172413793,False,True,0.4672413793103448,0.9,0.03448275862068965,inference_query
frontier_rag,mh-inf-001-meta,hybrid,0.0,0.0,False,True,0.25,0.5,0.0,inference_query
frontier_rag,mh-inf-002-uber,hybrid,0.0,0.0,False,False,0.0,0.0,0.0,inference_query
frontier_rag,mh-com-003-no,local,0.0,0.0,False,False,0.0,0.0,0.0,comparison_query
frontier_rag,mh-com-004-no,local,0.0,0.0,False,True,0.25,0.5,0.0,comparison_query
frontier_rag,mh-com-005-no,local,0.0,0.0,False,True,0.25,0.5,0.0,comparison_query
frontier_rag,mh-tem-006-no,hybrid,0.2,0.0,False,True,0.3,0.6,0.0,temporal_query
frontier_rag,mh-tem-007-no,hybrid,0.0,0.0,False,True,0.25,0.5,0.0,temporal_query
frontier_rag,mh-tem-008-no,hybrid,0.0,0.0,False,True,0.25,0.5,0.0,temporal_query
